ExpCode,ROI,nVertices,LabelSize,SubjCode,ClassifyPair,Classifier,Run,Predicted,Targets,ACC
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,6,5,5,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,7,5,6,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,7,6,5,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,8,6,6,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,8,6,5,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,9,5,5,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,9,5,6,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,10,6,6,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_intact-word_exchange,cosmo_classify_libsvm,10,6,5,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,1,4,3,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,1,4,4,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,2,4,4,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,2,3,3,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,3,3,4,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,3,4,3,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,4,4,3,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,4,4,4,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,5,4,3,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,5,4,4,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,6,4,3,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,6,4,4,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,7,4,3,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,7,4,4,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,8,3,4,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,8,3,3,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,9,4,4,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,9,3,3,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,10,4,4,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,face_top-face_bottom,cosmo_classify_libsvm,10,3,3,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,1,8,8,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,1,8,7,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,2,7,8,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,2,8,7,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,3,7,7,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,3,7,8,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,4,7,7,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,4,7,8,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,5,8,8,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,5,8,7,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,6,7,7,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,6,7,8,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,7,8,7,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,7,8,8,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,8,7,7,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,8,7,8,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,9,7,8,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,9,8,7,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,10,8,7,0
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,word_top-word_bottom,cosmo_classify_libsvm,10,8,8,1
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,1,5,1,0
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,1,1,5,0
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,2,1,1,1
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,2,5,5,1
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,3,1,1,1
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,3,1,5,0
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,4,5,5,1
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,4,5,1,0
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,5,5,5,1
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,5,5,1,0
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,6,5,5,1
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,6,5,1,0
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,7,5,5,1
