ExpCode,ROI,nVertices,LabelSize,SubjCode,Resp,Conditions,Target
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,0.487559847416555,face_intact,1
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,0.73234547313535,face_exchange,2
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,0.386772749361797,face_top,3
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,1.07271940933305,face_bottom,4
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,1.18739803582752,word_intact,5
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,0.920999927041355,word_exchange,6
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,0.950350265850801,word_top,7
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,1.02480275274413,word_bottom,8
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,1.42950838526166,face_intact,1
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,1.58357046789463,face_exchange,2
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,-0.122589940811455,face_top,3
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,0.77380842975539,face_bottom,4
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,1.28660853763269,word_intact,5
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,0.755661794015224,word_exchange,6
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,0.954262503654438,word_top,7
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,0.911280609996138,word_bottom,8
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,1.16501621656254,face_intact,1
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,0.206280034219585,face_exchange,2
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,0.748520439957161,face_top,3
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,0.451601762092199,face_bottom,4
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,1.8397808232002,word_intact,5
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,1.56554506992094,word_exchange,6
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,0.684976016339402,word_top,7
